attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",171.90399765968323,402.8780516501202,0.24399106810205926,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",116.31999909877777,316.30360190044564,0.360583221500736,363.5520040988922,253.00668317861786,0.3944216133683993
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",138.20800185203552,266.21059703467614,0.3034776527983084,419.295996427536,219.3702956949088,0.3419845865968853
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",115.64800143241882,318.1415522299396,0.3626784681143862,365.9519851207733,251.34741840420386,0.3918349232418477
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",184.92799997329712,187.25219452435636,0.22680740615837738,499.455988407135,173.329455586448,0.2870979051774075
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",224.92800652980804,613.4221634410612,0.3729463542321627,759.9999904632568,453.867849063712,0.3763146152484419
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",146.7519998550415,499.4797806939861,0.5716179682924994,547.9040145874023,334.45482581104153,0.5219876043714898
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",177.12000012397766,413.8417832694945,0.47361156245078334,649.3440270423889,282.2065563529663,0.4404431119550902
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",148.22399616241455,494.51950157707824,0.5659412927181028,552.6080131530762,331.6078257975581,0.5175442577608376
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",248.76800179481506,277.31827121762035,0.33720606908757345,719.5519804954529,239.690509032085,0.39746830215528445
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",619.3600296974182,447.2768298066277,0.1354399315063674,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",353.88800501823425,403.63396045774437,0.2370413204473481,1047.4879741668701,340.9137396961769,0.2737840844694162
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",429.4080138206482,332.6468357054482,0.19535285160056862,1250.9119510650635,285.4741632742032,0.2292611688263289
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",285.8560085296631,386.12903269635564,0.29345571720349267,860.5120182037354,320.6733367141277,0.33327313266193165
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",476.063996553421,290.9539395938271,0.1762075700059515,1279.6159982681274,270.6137925038985,0.22411843583398813
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",794.3360209465027,694.7982755186798,0.21121056527197224,2449.4400024414062,563.2953828078121,0.2335220325584125
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",443.93599033355713,641.0274093302972,0.37791970836593397,1548.7359762191772,459.36677096943555,0.36933229212921104
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",551.7759919166565,515.743964871498,0.3040584629592607,1884.7359418869019,377.47348510144326,0.30348983923304634
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",357.695996761322,614.7649738969006,0.4690356099007406,1271.0720300674438,432.50690147814055,0.4500124261011781
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",633.5359811782837,435.57375897541056,0.26481867641987517,1889.5360231399536,365.1050382059333,0.3027188690742592
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",2347.775936126709,471.9792657028903,0.07146003901751609,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1214.176058769226,463.4482953076839,0.1381777863171389,3431.488037109375,409.9590458677623,0.16714937245800984
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1501.8880367279053,374.66695977281086,0.11170750142302055,4229.184150695801,332.63379211533106,0.13562215584905046
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",622.6239800453186,413.64780520861734,0.2694598431428684,1832.1919441223145,351.41929812841505,0.3130518469093919
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1424.1600036621094,389.03689175324706,0.11780429134969934,4003.0717849731445,346.0160165399813,0.14328273456226515
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",2910.6240272521973,758.4673147318579,0.11528260498721091,9453.280448913574,583.8219870007432,0.1210158126781772
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1539.6159887313843,728.1384327813638,0.21794026721980359,4976.352214813232,563.1904278112247,0.22988654472539893
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1936.5439414978027,578.8939507630955,0.17326966499942997,6302.783966064453,444.6660313743871,0.18150652507836587
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",780.9600234031677,657.0087860478299,0.42965620511253305,2736.095905303955,468.8227447851463,0.4181126888799289
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1853.503942489624,595.5242768943715,0.18103242853063337,5803.743839263916,475.4717927092363,0.19711352666197138
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",9091.487884521484,487.5336474922105,0.03690752539760557,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",4565.343856811523,489.2330745942778,0.07349814833758156,12398.176193237305,450.37213071433274,0.09252507192353976
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",5601.503849029541,398.7352810683075,0.05990254207504168,15308.8960647583,364.74171654833543,0.07493304149087325
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",1303.007960319519,423.54808038522526,0.25751517275283486,3793.9200401306152,363.66509736786645,0.3023632896492217
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",4881.663799285889,453.9852017380214,0.06873564706547078,13779.744148254395,402.0762470065067,0.08324843565004209
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",12649.344444274902,698.0956838891889,0.05305323473136467,36000.511169433594,613.2171789878319,0.06355445402515927
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",6173.855781555176,720.736034955311,0.10869846393317513,18953.439712524414,586.9278088667501,0.12071649614545146
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",7417.632102966309,599.8842049074607,0.09047208471442414,23158.464431762695,480.3557193413311,0.09879726001443916
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",1632.8320503234863,673.3667742142708,0.4109967340897358,5802.527904510498,473.7137281603274,0.3943096646241834
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",6574.016094207764,671.6178234151524,0.10208198921071748,20649.919509887695,534.5331222930288,0.11079911623405855
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",35471.00830078125,499.8342547115444,0.018919356177005527,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",17473.82354736328,509.30127848926827,0.038405368932620594,47766.334533691406,465.7799661438794,0.04803140769325213
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",21679.359436035156,410.50293478576964,0.03095518767425042,58466.1750793457,380.5380059791143,0.03924122426148756
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",2675.1999855041504,426.34774278867854,0.2508555037516311,7751.840114593506,367.83700981551056,0.2959664097922779
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",18145.31135559082,488.54562620732486,0.036984134735898504,50588.993072509766,438.0801020410688,0.04535145193958648
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",49170.27282714844,718.3570277609224,0.0272965188685905,141011.87133789062,626.2205214918818,0.03245106685404585
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",24985.599517822266,709.6044832023038,0.053718033823547964,74323.2650756836,596.3776421585353,0.06156868457461147
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",29476.09519958496,601.5007521618279,0.045534432933263785,89547.93548583984,494.9833108142291,0.05110096217375774
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",3332.9920768737793,681.7566035006364,0.40269441062065514,12064.92805480957,470.84602318000833,0.379279979392486
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",25825.79231262207,683.8475779316334,0.05197042025866621,77629.85229492188,568.7536752632493,0.05894621113815176
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",163.39200735092163,423.86619009616663,0.41072305241876617,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",116.54400080442429,315.6956551521035,0.5758242684032896,349.66400265693665,263.0556363282404,0.6260016425389897
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",142.2719955444336,258.6063022958667,0.4716941218346863,362.94400691986084,253.43051535855696,0.6030964441529728
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",116.60800129175186,315.5223850887021,0.575508226335982,350.847989320755,262.16791750203913,0.6238891105625931
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",184.00000035762787,188.1965965037807,0.364722086247637,473.66398572921753,182.76760988429942,0.4621213488777557
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",214.88000452518463,642.1063918389335,0.6246171126837875,734.3999743461609,469.6889610693424,0.5950354891951862
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",146.94400131702423,498.82714535491453,0.9133937200364652,534.5919728279114,342.78318993575516,0.8174347356702103
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",175.135999917984,418.5299238210656,0.766362872640999,553.5680055618286,331.0327546369237,0.7894134841779465
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",147.8399932384491,495.8039776542467,0.9078580501794402,537.056028842926,341.210473243929,0.8136842797230913
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",246.72000110149384,279.62026541828794,0.5440082984791595,694.0479874610901,248.4983511167793,0.629630884167788
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",586.4319801330566,472.3913428615288,0.2288717746422136,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",356.86400532722473,400.2679308971563,0.3761032942421013,1015.1679515838623,351.76745089603037,0.4312394607384681
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",450.080007314682,317.3685004944684,0.2982085980685632,1090.7520055770874,327.39159839643514,0.40135656662706043
