attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",161.3759994506836,429.1613863507919,0.2599087853384156,472.6719856262207,366.30237116890663,0.3033663351341327,197.11999595165253,351.3410565663083,0.21277922514916925,708.4479928016663,244.39460747893133,0.20240408534849724
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",104.44799810647964,331.53506483387326,0.40156863473095117,346.0479974746704,250.1688644111766,0.41437248314230135,135.1040005683899,272.3267596311895,0.310450022379377,466.4959907531738,197.1744421029072,0.30738263745522754
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",287.00798749923706,241.30460009648374,0.1461389293219984,779.8720002174377,222.01190589189795,0.18386705505521464,151.32799744606018,243.13038769388598,0.2771664246396329,486.8159890174866,188.94425983345425,0.2945522974489839
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",284.5759987831116,243.3667911002693,0.14738783375743053,711.8080258369446,243.24096221930176,0.20144865300078438,137.08800077438354,268.385522293466,0.30595704775816923,480.3839921951294,191.47408784312233,0.2984961412739054
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",nan,,,nan,,,280.8000147342682,123.31970087953866,0.14936979273199935,706.4639925956726,122.54047689242454,0.202972507449601
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",212.6079946756363,648.9681848253248,0.3945575053655915,729.9839854240417,472.5303127843653,0.3917881894818082,340.67198634147644,405.01077257846015,0.2462370942232856,1129.3439865112305,305.43356592847084,0.2532435709721256
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",142.91200041770935,482.7300156065212,0.5869771590546221,525.0880122184753,328.45880398473054,0.5446688885386385,215.36000072956085,340.35873168502786,0.3895156004635247,810.8800053596497,225.98798903510203,0.35270212868690826
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",423.5840141773224,325.73425758753973,0.19803882392238556,1373.311996459961,251.17348559479854,0.20825501032338672,221.343994140625,331.1571971427922,0.378985119183786,860.9279990196228,212.85071686444624,0.3321986325519439
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",408.160001039505,338.043473227661,0.20552253965689507,1271.1039781570435,271.3700585377156,0.22500055771571595,209.4399929046631,349.9792741941408,0.40052560562387374,800.3519773483276,228.96069097889747,0.3573416597876762
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",nan,,,nan,,,343.29599142074585,200.95752329204439,0.24435496509246638,1412.160038948059,122.13189420688857,0.2025259858033126
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",592.960000038147,467.1906883671379,0.14147004856078543,1613.2800579071045,429.2890580811227,0.17776549991701043,729.9839854240417,379.49516170697666,0.11491495933471918,2385.535955429077,290.31776901280506,0.12021849234647858
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",336.64000034332275,411.4564376031893,0.24918631153293927,1011.4239454269409,342.3705161477347,0.2835463183333498,418.94400119781494,340.95539407557703,0.2002322022994932,1406.9759845733643,253.8089110798035,0.20383115216210437
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",1050.5919456481934,263.68505083206315,0.07984649068315865,2795.5520153045654,247.73764633549402,0.10258637093137962,486.1760139465332,293.8055620319205,0.1725426133614755,1487.1679544448853,240.12287347416367,0.19284004549913017
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",1050.719976425171,263.6529206711327,0.0798367613466366,2742.9120540618896,252.49204598244597,0.10455513350320823,338.3679986000061,326.20491453294903,0.2479137517350274,1128.0640363693237,244.61666294062871,0.25422806396968367
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",nan,,,nan,,,822.1120238304138,168.4839672465033,0.10203728636537265,1835.4560136795044,188.66250983907562,0.15624756674233037
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",786.8480086326599,701.4102996779092,0.21322054343321653,2507.744073867798,550.1989849035677,0.22809273640024336,1264.6080255508423,436.4224221142358,0.13266732189756683,3756.4480304718018,367.30396178719536,0.1522710292702115
