attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",92.73599833250046,746.8119057680783,0.4522843421560552,291.23198986053467,594.5118501676749,0.4923661307559929
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",96.57599776983261,403.37864947400914,0.43430087152671104,262.11199164390564,371.5653689447079,0.5470667980532817
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",131.71200454235077,295.7717915489916,0.3184450813404302,283.26401114463806,343.8196701601835,0.5062159764686164
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",90.14400094747543,432.1607111126458,0.46528930998346874,266.2079930305481,365.84828941940907,0.5386493709959539
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",493.6000108718872,70.15432143697353,0.08497374205059778,471.0080027580261,183.79822434667713,0.30443807145600893
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",113.6000007390976,1214.5759109710377,0.7384337980125472,428.73600125312805,804.5500260108687,0.6670750838839506
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",119.19999867677689,651.1023664224304,0.7037422896913428,357.05599188804626,543.4119786479791,0.8009923107232831
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",152.25599706172943,509.7428194209905,0.5509541930620303,375.328004360199,516.9571702243475,0.7619977744200755
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",98.9760011434555,784.1436340058867,0.8475395957694409,360.79999804496765,537.7730157742894,0.7926804477542015
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",516.7679786682129,133.49881385799483,0.16232832424367077,566.2400126457214,304.58776601488404,0.5050845888895892
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",286.97600960731506,965.3259551941954,0.29231042732382373,844.4799780845642,820.1064494754053,0.33960016038566404
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",296.9599962234497,495.587758026711,0.28248276221312757,667.743980884552,550.9961263785789,0.42948426973478493
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",343.968003988266,427.85880385845564,0.24387756717878234,738.5600209236145,498.1644503582635,0.3883036285139793
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",219.7760045528412,531.7690932355661,0.3816889845216524,585.0560069084167,499.3970033466153,0.4901847560124149
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",983.2320213317871,140.87488231758832,0.08531666807024486,1091.968059539795,317.1170944193541,0.26263179906641637
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",337.92001008987427,1633.2365088093304,0.49648483366042395,1290.6559705734253,1069.0364243439617,0.4431841025349823
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",335.90400218963623,872.8643448864693,0.49946460568005807,889.7280097007751,823.8434207399118,0.6428910877970101
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",379.5199990272522,772.5511898384735,0.44206408207740533,951.2640237808228,770.5500772821059,0.601303311909746
