attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",87.93599903583527,787.5767422597539,0.4769723487522735,253.9519965648651,681.7858156739314,0.5646451689281137,198.4959989786148,348.90550945292057,0.2113042087287552,749.888002872467,230.88897069532922,0.19121891195849244
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",55.904000997543335,619.4221022842661,0.7502690192396634,189.43999707698822,456.98076380785557,0.7569297414089663,133.69600474834442,275.1947207192488,0.31371947186416865,604.4800281524658,152.16563399312167,0.23721671737983802
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",385.0559890270233,179.86046087219688,0.10892712019876265,1551.1679649353027,111.61967822564043,0.09244180594329172,403.74401211738586,91.12812471210805,0.10388523108995446,792.2239899635315,116.10489947954513,0.18100028504135657
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",356.31999373435974,194.3655951555481,0.11771172187230385,1088.6399745941162,159.04327708024235,0.13171734581348798,176.12800002098083,208.89599997511576,0.23813953485535314,598.3039736747742,153.7363794444712,0.2396654114116671
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 64)",nan,,,nan,,,325.6320059299469,106.34143202572521,0.12880502910092684,824.9279856681824,104.94302055939941,0.17382458892318156
noop,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",106.49599879980087,1295.596322293547,0.7876923165695202,384.0000033378601,898.280098858507,0.7447893268593683,289.216011762619,477.0684152067174,0.2900464586616716,1154.3359756469727,298.82076642952336,0.24776071268133662
causal,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",68.60800087451935,1005.5374200186286,1.222686551579072,304.32000756263733,566.7382235606084,0.9397972426809093,192.51200556755066,380.7536911160579,0.43574466824909347,953.4720182418823,192.1914206752445,0.29995542452033036
alibi,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",374.81600046157837,368.11615356357663,0.22380602721520956,675.0079989433289,511.0155161123651,0.4236973553612828,211.10400557518005,347.22058685852807,0.3973684903393546,1200.9600400924683,152.58554459971097,0.2381420650582008
sliding_window,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",370.6879913806915,372.2155224669814,0.22629834780336905,639.9679780006409,538.9950322790285,0.44689596015960914,196.54400646686554,372.9427216919853,0.4268055867383673,969.0560102462769,189.1006709853942,0.29513165490539184
document_mask,torch.bfloat16,"(4, 16, 2048, 4, 2048, 128)",nan,,,nan,,,388.9920115470886,177.35046002004802,0.2156498784290467,1447.9360580444336,119.11422436218335,0.19752191570273292
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",272.38398790359497,1017.0399248653624,0.3079699384887846,819.487988948822,845.1172998500792,0.34995697297268147,690.4000043869019,401.25346006914896,0.12150359134845838,2197.5040435791016,315.15913634088855,0.13050512322739982
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",159.71200168132782,867.2654142321336,0.5252334146270189,558.3040118217468,620.238670881268,0.5136727122275521,394.1760063171387,362.3792791412969,0.2128137650583139,1493.2479858398438,239.14516942017198,0.19205486209894596
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",1341.7600393295288,206.4641832159708,0.06251943532460355,5965.824127197266,116.08848362168618,0.04807140302587689,1281.3760042190552,111.47486495273938,0.06546562423816032,2169.5361137390137,164.59880077523246,0.13218749122629223
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",1198.1120109558105,231.2182734659334,0.07001522331211646,4318.4638023376465,160.37264827948897,0.06640915592363165,425.9839951992035,259.11138753554366,0.19692307914238005,1228.4480333328247,224.62754033750684,0.2334535350444905
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 64)",nan,,,nan,,,852.9919981956482,162.38451895093834,0.09834333754296169,1882.3679685592651,183.9607048270369,0.15235359971594775
noop,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",311.5839958190918,1771.282559250699,0.5384492215621045,1248.3839988708496,1105.2354444529706,0.4581909160301369,1055.3280115127563,522.9684908532619,0.15897631652883693,3484.5759868621826,395.96158873908075,0.16415145204368964
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",194.5279985666275,1418.57033846716,0.8624576474143727,844.7679877281189,816.649224333571,0.677106869944618,606.6880226135254,469.0633854383525,0.2765377817700463,2445.631980895996,290.9014316288722,0.23388564283921387
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",1300.5119562149048,424.37387437966777,0.1290047040307842,2423.8080978393555,569.2522626151599,0.23599154095982014,674.9759912490845,421.60779269404276,0.24856018906617303,3172.640085220337,224.241585988343,0.18029092258672488
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",1241.1199808120728,444.68166339154914,0.13517803483449328,2292.7041053771973,601.8038876468977,0.2494862754676729,480.96001148223877,457.20842660974654,0.34882766964961204,2019.2959308624268,272.24708220216485,0.28326616186251796
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",nan,,,nan,,,1079.327940940857,255.66988336042817,0.1554413201364471,3691.8399333953857,186.86593524262523,0.15493580933069684
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1043.328046798706,1062.0835563349817,0.16080480201292724,2880.4800510406494,961.7334113871655,0.19912343145469183,2546.112060546875,435.2131940846283,0.0658934705191116,7824.80001449585,354.0351064292966,0.07330169089784146
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",552.9919862747192,1001.9146659184221,0.303389857654561,1793.12002658844,772.4675049195225,0.3198732173502444,1360.2240085601807,413.6876140244249,0.1233415664950581,4856.832027435303,289.6475631962216,0.11809571934133366
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",5294.112205505371,209.30828802904483,0.031690329461761875,22854.623794555664,121.21196703224311,0.025096500259900748,4509.888172149658,124.77201277737733,0.037200957894268735,6868.991851806641,204.80000441840676,0.08350149255878689
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",5006.400108337402,221.33699632249215,0.033511536507160274,20767.744064331055,133.39214395837809,0.027618361928155585,895.7120180130005,287.5333116410881,0.18730591599315233,2524.4479179382324,255.05283847006822,0.22720653808078842
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",nan,,,nan,,,2593.8880443573,213.59857160731076,0.06467980002643858,5212.384223937988,265.73769189899207,0.11004005985703477
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1226.0799407958984,1800.5458834200879,0.2736724652571875,4450.30403137207,1240.1474003695048,0.25706028350770793,3901.5040397644043,565.8364486218265,0.08600383764315214,12058.624267578125,457.68346810497746,0.09486956311225726
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",661.8239879608154,1667.8250035526862,0.5069993323056561,2667.520046234131,1034.4876289030124,0.4288614129123551,2128.2880306243896,526.7395939783156,0.15765926189114507,7316.4801597595215,383.0576823285088,0.1563588489301119
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",5010.43176651001,440.6033837043352,0.06696914270797896,9037.759780883789,610.6638270065087,0.12657964404184796,2388.9920711517334,469.25797145050376,0.14045434643834295,9710.816383361816,288.6095073944491,0.1178064099698234
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",4968.448162078857,444.3265015811916,0.06753503489500116,8748.031616210938,630.8885492746397,0.13077186573949567,1058.527946472168,484.72749221032586,0.3169914607529189,4079.9360275268555,314.40296702337366,0.280395674903133
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",nan,,,nan,,,3312.864065170288,333.1880129573811,0.101285266584807,10863.615989685059,254.01454638125512,0.10530530691495522
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",3999.9680519104004,1108.110412870689,0.08388675000535135,11607.551574707031,954.6384999766567,0.09882722782810063,9874.46403503418,448.87562846408787,0.033981015962942694,29792.57583618164,371.93882410874465,0.0385042955099858
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",2052.7360439300537,1079.6337557813722,0.16346199064034825,6644.735813140869,833.8191265456924,0.17263924048438017,5054.463863372803,441.8900346351655,0.0663857392336947,16939.903259277344,329.62366689207437,0.06771834091624777
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",20891.679763793945,212.16131491511393,0.0160611460540148,90684.41772460938,122.19316065226167,0.012649826428655512,16871.423721313477,132.38463146571462,0.019888322736871973,25117.24853515625,222.30910449066286,0.04567148915194122
